Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Delete addresses,Chrome 69.0.3497.100,Test the addresse deletion function using data driven approach with spreadsheet Addresses,2018-09-25 12:01:54,2018-09-25 12:02:26,"32,618s",PASSED
,,,,,,
Test Cases/Home/Delete address,Chrome 69.0.3497.100,Delete an addresses,2018-09-25 12:01:54,2018-09-25 12:02:12,"18,615s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Chrome 69.0.3497.100,,2018-09-25 12:01:54,2018-09-25 12:02:09,"14,508s",PASSED
Statement - If (deleteButton),Chrome 69.0.3497.100,,2018-09-25 12:02:09,2018-09-25 12:02:10,"1,088s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 12:02:10,2018-09-25 12:02:10,"0,671s",PASSED
,,,,,,
Test Cases/Home/Delete address,Chrome 69.0.3497.100,Delete an addresses,2018-09-25 12:02:12,2018-09-25 12:02:26,"13,737s",PASSED
"Statement - deleteButton = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.callTestCase(com.kms.katalon.core.testcase.TestCaseFactory.findTestCase(Common/FindAddress), [""myAlias"":myAlias], STOP_ON_FAILURE)",Chrome 69.0.3497.100,,2018-09-25 12:02:12,2018-09-25 12:02:23,"10,146s",PASSED
Statement - If (deleteButton),Chrome 69.0.3497.100,,2018-09-25 12:02:23,2018-09-25 12:02:24,"0,923s",PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-09-25 12:02:24,2018-09-25 12:02:24,"0,645s",PASSED
